-1.000000 0.000004
-0.958607 0.000005
-0.917215 0.000006
-0.875822 0.000008
-0.834429 0.000009
-0.793037 0.000011
-0.751644 0.000014
-0.710251 0.000016
-0.668859 0.000020
-0.627466 0.000024
-0.586073 0.000029
-0.544680 0.000035
-0.503288 0.000043
-0.461895 0.000052
-0.420502 0.000063
-0.379110 0.000076
-0.337717 0.000092
-0.296324 0.000111
-0.254932 0.000134
-0.213539 0.000162
-0.172146 0.000197
-0.130754 0.000238
-0.089361 0.000288
-0.047968 0.000348
-0.006576 0.000421
0.034817 0.000510
0.076210 0.000617
0.117602 0.000746
0.158995 0.000903
0.200388 0.001093
0.241781 0.001322
0.283173 0.001600
0.324566 0.001936
0.365959 0.002342
0.407351 0.002834
0.448744 0.003428
0.490137 0.004148
0.531529 0.005019
0.572922 0.006072
0.614315 0.007346
0.655707 0.008887
0.697100 0.010751
0.738493 0.013005
0.779885 0.015731
0.821278 0.019028
0.862671 0.023013
0.904064 0.027830
0.945456 0.033652
0.986849 0.040686
1.028242 0.049182
1.069634 0.059440
1.111027 0.071819
1.152420 0.086752
1.193812 0.104752
1.235205 0.126432
1.276598 0.152522
1.317990 0.183882
1.359383 0.221527
1.400776 0.266646
1.442168 0.320621
1.483561 0.385045
1.524954 0.461743
1.566346 0.552771
1.607739 0.660424
1.649132 0.787214
1.690525 0.935840
1.731917 1.109130
1.773310 1.309968
1.814703 1.541182
1.856095 1.805430
1.897488 2.105059
1.938881 2.441973
1.980273 2.817512
2.021666 3.232362
2.063059 3.686507
2.104451 4.179228
2.145844 4.709157
2.187237 5.274366
2.228629 5.872490
2.270022 6.500861
2.311415 7.156644
2.352807 7.836958
2.394200 8.538977
2.435593 9.260011
2.476986 9.997557
2.518378 10.749333
2.559771 11.513290
2.601164 12.287618
2.642556 13.070732
2.683949 13.861260
2.725342 14.658022
2.766734 15.460011
2.808127 16.266372
2.849520 17.076382
2.890912 17.889434
2.932305 18.705017
2.973698 19.522703
